Lukas Visek,Stichting Commonland
Valere Moutarlier,SAFRAN
Fabrice Comptour,SAFRAN
Adrienn Kiraly,Initiative for Science in Europe
Daniel Mes,Airlines for Europe
Nathalie De Basaldua Lemarchand,BANCO BILBAO VIZCAYA ARGENTARIA
Frans Timmermans (Executive Vice-President),Discovery Corporate Services Ltd
Daniel Braun,Mozilla Corporation
Mariya Gabriel (Commissioner),Openclassrooms
Diederik Samsom,North Sea Port
Anouk Faber,European Federation of Food, Agriculture and Tourism Trade Unions
Christoph Nerlich,European Federation of Food, Agriculture and Tourism Trade Unions
Nicolas Schmit (Commissioner),European Federation of Food, Agriculture and Tourism Trade Unions
Anouk Faber,Booking.com B.V.
Christoph Nerlich,Booking.com B.V.
Nicolas Schmit (Commissioner),Booking.com B.V.
Anouk Faber,AMADEUS IT GROUP S.A.
Christoph Nerlich,AMADEUS IT GROUP S.A.
Nicolas Schmit (Commissioner),AMADEUS IT GROUP S.A.
Anouk Faber,Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Christoph Nerlich,Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Nicolas Schmit (Commissioner),Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Anouk Faber,TUI AG
Christoph Nerlich,TUI AG
Nicolas Schmit (Commissioner),TUI AG
Anouk Faber,HOTREC, Hotels, Restaurants & Cafés in Europe
Christoph Nerlich,HOTREC, Hotels, Restaurants & Cafés in Europe
Nicolas Schmit (Commissioner),HOTREC, Hotels, Restaurants & Cafés in Europe
Anouk Faber,Confederation of Danish Industry
Christoph Nerlich,Confederation of Danish Industry
Nicolas Schmit (Commissioner),Confederation of Danish Industry
Anouk Faber,HELLENIC CHAMBER OF HOTELS
Christoph Nerlich,HELLENIC CHAMBER OF HOTELS
Nicolas Schmit (Commissioner),HELLENIC CHAMBER OF HOTELS
Anouk Faber,Georgios Tziallas
Christoph Nerlich,Georgios Tziallas
Nicolas Schmit (Commissioner),Georgios Tziallas
Anouk Faber,Tandem Travel OOD
Christoph Nerlich,Tandem Travel OOD
Nicolas Schmit (Commissioner),Tandem Travel OOD
Agnieszka Skonieczna,Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Thierry Breton (Commissioner),Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Eszter Batta,Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
Agnieszka Skonieczna,TUI AG
Thierry Breton (Commissioner),TUI AG
Eszter Batta,TUI AG
Agnieszka Skonieczna,HOTREC, Hotels, Restaurants & Cafés in Europe
Thierry Breton (Commissioner),HOTREC, Hotels, Restaurants & Cafés in Europe
Eszter Batta,HOTREC, Hotels, Restaurants & Cafés in Europe
Agnieszka Skonieczna,Tandem Travel OOD
Thierry Breton (Commissioner),Tandem Travel OOD
Eszter Batta,Tandem Travel OOD
Agnieszka Skonieczna,European Federation of Food, Agriculture and Tourism Trade Unions
Thierry Breton (Commissioner),European Federation of Food, Agriculture and Tourism Trade Unions
Eszter Batta,European Federation of Food, Agriculture and Tourism Trade Unions
Agnieszka Skonieczna,Georgios Tziallas
Thierry Breton (Commissioner),Georgios Tziallas
Eszter Batta,Georgios Tziallas
Agnieszka Skonieczna,AMADEUS IT GROUP S.A.
Thierry Breton (Commissioner),AMADEUS IT GROUP S.A.
Eszter Batta,AMADEUS IT GROUP S.A.
Agnieszka Skonieczna,Booking.com B.V.
Thierry Breton (Commissioner),Booking.com B.V.
Eszter Batta,Booking.com B.V.
Agnieszka Skonieczna,Confederation of Danish Industry
Thierry Breton (Commissioner),Confederation of Danish Industry
Eszter Batta,Confederation of Danish Industry
Agnieszka Skonieczna,HELLENIC CHAMBER OF HOTELS
Thierry Breton (Commissioner),HELLENIC CHAMBER OF HOTELS
Eszter Batta,HELLENIC CHAMBER OF HOTELS
Maria Elena Scoppio,Associazione Industriali delle Carni e dei Salumi
Werner Stengg,European Association Automotive Suppliers
Marie Frenay,Stichting Free Press Unlimited
Marius  Vaščega ,STARCH EUROPE
Lukas Visek,Coöperatieve Vereniging Bionext UA
Carlos Morais-Pires,Tetra Pak Group
Adrienn Kiraly,Spotify
Daniel Mes,Bolt
Helena Braun,Confederation of European Paper Industries
Helena Braun,European Paper Packaging Alliance
Antoine Colombani,ENGIE
Pablo Fabregas Martinez,Association Occitanie Europe
Ines Prainsack,International Platform of Insects for Food & Feed Association
Karolina Herbout-Borczak,International Platform of Insects for Food & Feed Association
Giorgios Rossides,International Platform of Insects for Food & Feed Association
Maria Elena Scoppio,Associazione Industriali delle Carni e dei Salumi
Filomena Chirico,Deutsche Telekom
Thierry Breton (Commissioner),Deutsche Telekom
Anthony Whelan,G Plus Ltd (t/a Portland)
Anthony Whelan,Together Against Counterfeiting Alliance
Maria Elena Scoppio,G Plus Ltd (t/a Portland)
Maciej Golubiewski,European farmers
Werner Stengg,Robert Bosch GmbH
Margrethe Vestager (Executive Vice-President),Robert Bosch GmbH
Werner Stengg,SAP
Věra Jourová (Vice-President),Die Medienanstalten - Arbeitsgemeinschaft der Landesmedienanstalten in der Bundesrepublik Deutschland
Adina-Ioana Vălean (Commissioner),SOS Travel Belgium
Rozalina Petrova,CEMBUREAU - The European Cement Association
Rozalina Petrova,European Copper Institute
Daniel Mes,European Regions Research and Innovation Network
Damyana Stoynova,European Regions Research and Innovation Network
Renaud Savignat,European Partnership for Democracy
Frans Timmermans (Executive Vice-President),CLG Europe
Frans Timmermans (Executive Vice-President),European network for community-led initiatives on climate change and sustainability
Frans Timmermans (Executive Vice-President),European Environmental Bureau
Frans Timmermans (Executive Vice-President),European Federation of Agencies and Regions for Energy and the Environment
Frans Timmermans (Executive Vice-President),European Alliance to Save Energy
Frans Timmermans (Executive Vice-President),European Industrial Insulation Foundation
Frans Timmermans (Executive Vice-President),smartEn Smart Energy Europe
Frans Timmermans (Executive Vice-President),Solar Heat Europe/ESTIF
Frans Timmermans (Executive Vice-President),Conference of Peripheral Maritime Regions (CRPM)
Frans Timmermans (Executive Vice-President),ICLEI - Local Governments for Sustainability European Secretariat
Frans Timmermans (Executive Vice-President),The Coalition for Energy Savings
Frans Timmermans (Executive Vice-President),European Heat Pump Association
Frans Timmermans (Executive Vice-President),Climate Action Network Europe
Frans Timmermans (Executive Vice-President),CDP Worldwide (Europe) gemeinnützige GmbH
Frans Timmermans (Executive Vice-President),Climate-KIC Holding BV
Frans Timmermans (Executive Vice-President),OMA
Frans Timmermans (Executive Vice-President),The European Alliance of Companies for Energy Efficiency in Buildings
Lucrezia Busa,AIM - European Brands Association
Geneviève Tuts,AIM - European Brands Association
Diederik Samsom,IBM Corporation
Maria Luisa Llano Cardenal,MEDICINES FOR EUROPE
Damyana Stoynova,Vereniging Nationale Jeugdraad
Stefanie Hiesinger,European Barge Union
Agne Razmislaviciute-Palioniene,Ignitis grupė
Virginijus Sinkevičius (Commissioner),Ignitis grupė
Maciej Golubiewski,EuroCommerce
Maria Elena Scoppio,G Plus Ltd (t/a Portland)
Laure Chapuis-Kombos,Alber & Geiger
Mattia De Grassi,Association Civic Tech Europe
Filomena Chirico,Schibsted ASA
Filip Alexandru Negreanu Arboreanu,UNIFE
Fabrice Comptour,AeroSpace and Defence Industries Association of Europe
Thierry Breton (Commissioner),AeroSpace and Defence Industries Association of Europe
Thierry Breton (Commissioner),AIR LIQUIDE
Agnieszka Skonieczna,CAISSE DES DEPOTS
Thierry Breton (Commissioner),CAISSE DES DEPOTS
Agnieszka Skonieczna,KfW Bankengruppe
Thierry Breton (Commissioner),KfW Bankengruppe
Fabrice Comptour,Robert Bosch GmbH
Lucia Caudet,Robert Bosch GmbH
Thierry Breton (Commissioner),Robert Bosch GmbH
Werner Stengg,DIGITALEUROPE
Věra Jourová (Vice-President),Reset
Věra Jourová (Vice-President),European Partnership for Democracy
Stefanie Hiesinger,GASCADE Gastransport GmbH
Rozalina Petrova,PepsiCo
Rozalina Petrova,COTY
Virginijus Sinkevičius (Commissioner),Greenpeace European Unit
Camilla Bursi,Greenpeace European Unit
Maja Kocijancic,Youth Alliance - Krusevo
Mattia De Grassi,Europe's People's Forum
Valdis Dombrovskis (Executive Vice-President),Deutsche Börse AG
Werner Stengg,The Chancellor, Masters and Scholars of the University of Oxford
Margrethe Vestager (Executive Vice-President),The Chancellor, Masters and Scholars of the University of Oxford
Valere Moutarlier,EuroCommerce
Pauline Weinzierl,EuroCommerce
Geneviève Tuts,Hague Conference on Private International Law
Věra Jourová (Vice-President),EuroCommerce
Camilla Bursi,CMA CGM
Filomena Chirico,Spotify
Despina Spanou,European Movement International
Kyriacos Charalambous,EURODOM
Wioletta Dunin-Majewska,Social Progress Imperative
Francisco Barros Castro,Social Progress Imperative
Valdis Dombrovskis (Executive Vice-President),Society for Worldwide Interbank Financial Telecommunication
Valdis Dombrovskis (Executive Vice-President),European Round Table for Industry
Szabolcs Horvath,European Federation of Pharmaceutical Industries and Associations
Adam Romanowski,KIC InnoEnergy SE
Maroš Šefčovič (Vice-President),KIC InnoEnergy SE
Peeter Kadarik,Elering AS
Kadri Simson (Commissioner),Elering AS
Alejandro Cainzos,European Telecommunications Network Operators' Association
Daniel Mes,G Plus Ltd (t/a Portland)
Daniel Mes,Avis Budget Group
Daniel Mes,Europcar Mobility Group
Diederik Samsom,Trinomics B.V.
Antoine Colombani,International Association of Oil & Gas Producers Europe
Camilla Bursi,ECOLAB
Giorgios Rossides,European Federation of Pharmaceutical Industries and Associations
Karolina Herbout-Borczak,European Federation of Pharmaceutical Industries and Associations
Giorgios Rossides,MEDICINES FOR EUROPE
Karolina Herbout-Borczak,MEDICINES FOR EUROPE
Tuure Taneli Lahti,Wärtsilä Corporation
Tuure Taneli Lahti,Aula Europe
Antoine Kasel,Fagbevægelsens Hovedorganisation
Nicolas Schmit (Commissioner),Fagbevægelsens Hovedorganisation
Anouk Faber,Fagbevægelsens Hovedorganisation
Valdis Dombrovskis (Executive Vice-President),Airbus
Maciej Golubiewski,Central Europe Energy Partners
Kyriacos Charalambous,Climate Strategies
Roxana Lesovici,European Inland Waterway Transport (IWT) Platform
Elzbieta Lukaniuk,Fédération Internationale de l'Automobile
Agnieszka Skonieczna,Reporters sans frontières
Thierry Breton (Commissioner),Reporters sans frontières
Alexandra Cupsan-Catalin,Human Rights Watch
Raul Hernandez Sagrera,Human Rights Watch
Renate Nikolay,Bundesverband der Deutschen Industrie e.V.
Daniel Mes,Sun Trip Company
Daniel Mes,Transport and Environment (European Federation for Transport and Environment)
Michael Hager,Microsoft Corporation
Geneviève Tuts,Bureau Européen des Unions de Consommateurs
Nora Bednarski,EUROPEAN TRADE UNION CONFEDERATION
Nora Bednarski,Conseil des Communes et Régions d'Europe
Věra Jourová (Vice-President),Transatlantic Institute
Věra Jourová (Vice-President),B'nai B'rith International
Věra Jourová (Vice-President),B'nai B'rith Europe
Aleksandra Tomczak,Gates Ventures, LLC
Diederik Samsom,Gates Ventures, LLC
Diederik Samsom,Deloitte & Associés
Camilla Bursi,Pro Wildlife
Ana Carla  Pereira,Brussels Office of the Swedish Trade Unions
Antoine Kasel,Brussels Office of the Swedish Trade Unions
Anouk Faber,Brussels Office of the Swedish Trade Unions
Nicolas Schmit (Commissioner),Brussels Office of the Swedish Trade Unions
Ana Carla  Pereira,Tjänstemännens centralorganisation
Antoine Kasel,Tjänstemännens centralorganisation
Anouk Faber,Tjänstemännens centralorganisation
Nicolas Schmit (Commissioner),Tjänstemännens centralorganisation
Ana Carla  Pereira,The Swedish Trade Union Confederation
Antoine Kasel,The Swedish Trade Union Confederation
Anouk Faber,The Swedish Trade Union Confederation
Nicolas Schmit (Commissioner),The Swedish Trade Union Confederation
Ana Carla  Pereira,Sveriges Akademikers Centralorganisation
Antoine Kasel,Sveriges Akademikers Centralorganisation
Anouk Faber,Sveriges Akademikers Centralorganisation
Nicolas Schmit (Commissioner),Sveriges Akademikers Centralorganisation
Elzbieta Lukaniuk,UNIFE
Florian Denis,Federation of European Securities Exchanges
Marius  Vaščega ,European Portable Battery Association
Marius  Vaščega ,Amazon Europe Core SARL
Daniel Mes,International Road Transport Union Permanent Delegation to the EU
Stefano Grassi,Ørsted A/S
Kadri Simson (Commissioner),Ørsted A/S
Laure Chapuis-Kombos,Ørsted A/S
Stefano Grassi,WindEurope
Kadri Simson (Commissioner),WindEurope
Laure Chapuis-Kombos,WindEurope
Stefano Grassi,IBERDROLA
Kadri Simson (Commissioner),IBERDROLA
Laure Chapuis-Kombos,IBERDROLA
Stefano Grassi,Vestas Wind Systems A/S
Kadri Simson (Commissioner),Vestas Wind Systems A/S
Laure Chapuis-Kombos,Vestas Wind Systems A/S
Stefano Grassi,Siemens Gamesa Renewable Energy
Kadri Simson (Commissioner),Siemens Gamesa Renewable Energy
Laure Chapuis-Kombos,Siemens Gamesa Renewable Energy
Stefano Grassi,Vattenfall
Kadri Simson (Commissioner),Vattenfall
Laure Chapuis-Kombos,Vattenfall
Laure Chapuis-Kombos,Ocean Energy Europe
Kadri Simson (Commissioner),Ocean Energy Europe
Stefano Grassi,Ocean Energy Europe
Eugenia Dumitriu-Segnana,Dachverband der österreichischen Sozialversicherung
Christoph Nerlich,Dachverband der österreichischen Sozialversicherung
Damyana Stoynova,Bloomberg L.P.
Anthony Agotha,Bloomberg L.P.
Diederik Samsom,Bloomberg L.P.
Diederik Samsom,Association des Constructeurs Européens d'Automobiles
Daniel Mes,Neste Oyj
Diederik Samsom,Neste Oyj
Roberta Torre,Water Europe
Maria Luisa Llano Cardenal,European Federation of Pharmaceutical Industries and Associations
Despina Spanou,European Federation of Pharmaceutical Industries and Associations
Eszter Batta,Anheuser-Busch InBev nv/sa
Stefanie Hiesinger,CMA CGM
Lesia Radelicki,Diageo
Eszter Batta,Teva Pharmaceuticals Europe BV
Thierry Breton (Commissioner),Teva Pharmaceuticals Europe BV
Eszter Batta,MEDICINES FOR EUROPE
Thierry Breton (Commissioner),MEDICINES FOR EUROPE
Marius  Vaščega ,European Environmental Bureau
Andrea Nahles,European Federation for Services to Individuals
Andrea Nahles,Confederation of European Security Services
Andrea Nahles,Insurance Europe
Andrea Nahles,European Telecommunications Network Operators' Association
Andrea Nahles,World Employment Confederation-Europe
Andrea Nahles,EuroCommerce
Andrea Nahles,European Banking Federation
Daniel Mes,FEPORT
Daniel Mes,Shipyards' and Maritime Equipment Association of Europe
Frans Timmermans (Executive Vice-President),CSR Europe, The Business Network for Corporate Social Responsibility
Diederik Samsom,PLANET Planungsgruppe Energie und Technik GbR
Filip Alexandru Negreanu Arboreanu,Eurocities
Stefanie Hiesinger,Deutscher Bauernverband
Christiane Kirketerp De Viron,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.
Sibylle Bikar,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.
Jutta Urpilainen (Commissioner),Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners
Maria Inmaculada Lopez Martinez,Telefonica, S.A.
Anthony Whelan,Schibsted ASA
Renaud Savignat,Bill & Melinda Gates Foundation
Diederik Samsom,Eindhoven University of Technology
Diederik Samsom,WindEurope
Arto Virtanen,Helsinki EU Office (vastuutaho Uudenmaan liitto)
Werner Stengg,Open Society European Policy Institute
Stella Kyriakides (Commissioner),Gilead Sciences
Estelle Göger,Global Citizen
Christoph Nerlich,CSR Europe, The Business Network for Corporate Social Responsibility
Anouk Faber,CSR Europe, The Business Network for Corporate Social Responsibility
Roxana Lesovici,Shipyards' and Maritime Equipment Association of Europe
Nicolas Schmit (Commissioner),European Aerospace Cluster Partnership
Christoph Nerlich,European Aerospace Cluster Partnership
Anouk Faber,European Aerospace Cluster Partnership
Nicolas Schmit (Commissioner),NAVANTIA sociedad anónima, sociedad mercantil estatal
Christoph Nerlich,NAVANTIA sociedad anónima, sociedad mercantil estatal
Anouk Faber,NAVANTIA sociedad anónima, sociedad mercantil estatal
Nicolas Schmit (Commissioner),AEROCAMPUS Aquitaine
Christoph Nerlich,AEROCAMPUS Aquitaine
Anouk Faber,AEROCAMPUS Aquitaine
Nicolas Schmit (Commissioner),Saab AB
Christoph Nerlich,Saab AB
Anouk Faber,Saab AB
Nicolas Schmit (Commissioner),industriAll European Trade Union
Christoph Nerlich,industriAll European Trade Union
Anouk Faber,industriAll European Trade Union
Nicolas Schmit (Commissioner),Politechnika Rzeszowska im. Ignacego Lukasiewicza
